name,asahi,sapporo,kirin,suntry,price,alcohol,calorie,suger,prin,beer_type,spark_type,new_type
アサヒスーパードライ,1,0,0,0,194,0.05,42,3,5.5,1,0,0
アサヒスーパードライ 瞬冷辛口,1,0,0,0,196,0.05,41,2.5,6.4,1,0,0
アサヒ グランマイルド,1,0,0,0,200,0.07,47,1.7,6.9,1,0,0
アサヒドライプレミアム豊醸,1,0,0,0,210,0.065,49,3.1,8.1,1,0,0
アサヒスーパードライ ドライブラック,1,0,0,0,213,0.055,45,3.1,5.2,1,0,0
アサヒ生ビール,1,0,0,0,205,0.045,41,3,6.2,1,0,0
アサヒ ザ・ドリーム,1,0,0,0,233,0.05,34,1,6.4,1,0,0
アサヒプレミアム生ビール 熟撰,1,0,0,0,267,0.055,45,3.2,6.8,1,0,0
アサヒ 食楽,1,0,0,0,233,0.06,44,2.3,6.8,1,0,0
アサヒスタウト,1,0,0,0,224,0.08,74,6.5,3.5,1,0,0
アサヒオリオンドラフト,1,0,0,0,206,0.05,41,3.4,NA,1,0,0
アサヒスタイルフリー＜生＞,1,0,0,0,130,0.04,24,0,3.1,0,1,0
スタイルフリーパーフェクト,1,0,0,0,132,0.06,34,0,0,0,1,0
アサヒ本生ドラフト,1,0,0,0,131,0.055,45,3.6,3.2,0,1,0
アサヒ本生アクアブルー,1,0,0,0,141,0.05,35,1.2,2.4,0,1,0
アサヒ レッドアイ,1,0,0,0,152,0.03,30,2.7,NA,0,1,0
アサヒオリオン パイナップルのビアカクテル,1,0,0,0,178,0.055,46,3.7,NA,0,1,0
アサヒオリオン マンゴーのビアカクテル,1,0,0,0,162,0.055,46,3.7,NA,0,1,0
クリアアサヒ 秋の宴,1,0,0,0,150,0.06,50,3.6,4.7,0,0,1
クリア アサヒ,1,0,0,0,111,0.05,45,3.2,4.4,0,0,1
クリアアサヒ プライムリッチ,1,0,0,0,114,0.06,51,3.8,4.3,0,0,1
クリアアサヒ 贅沢ゼロ,1,0,0,0,114,0.06,39,0,1.9,0,0,1
クリアアサヒ クリアセブン,1,0,0,0,114,0.07,50,2.2,5.4,0,0,1
アサヒオフ,1,0,0,0,115,0.035,22,0,0,0,0,1
アサヒアクアゼロ,1,0,0,0,111,0.04,27,0,3,0,0,1
サッポロ生ビール黒ラベル,0,1,0,0,189,0.05,40,2.9,7.5,1,0,0
サッポロ生ビール黒ラベル＜黒＞,0,1,0,0,250,0.05,43,3.5,6.5,1,0,0
サッポロ生ビール黒ラベル エクストラブリュ―,0,1,0,0,188,0.055,45,3.2,9.4,1,0,0
サッポロラガービール,0,1,0,0,224,0.05,40,2.9,8,1,0,0
サッポロ 焙煎生ビール,0,1,0,0,196,0.06,48,3.3,10,1,0,0
ヱビスビール,0,1,0,0,212,0.05,42,3,11,1,0,0
ヱビス プレミアムブラック,0,1,0,0,212,0.05,46,3.7,10,1,0,0
ヱビス マイスター,0,1,0,0,240,0.055,46,3.4,11,1,0,0
ヱビス 華みやび,0,1,0,0,203,0.055,47,3.5,9,1,0,0
ヱビス＜ザ・ホップ＞,0,1,0,0,212,0.055,44,2.9,11,1,0,0
琥珀ヱビス,0,1,0,0,228,0.055,45,2.9,11,1,0,0
サッポロ 極ZERO（ゴクゼロ）,0,1,0,0,135,0.05,30,0,0,0,1,0
サッポロ 北海道生搾り,0,1,0,0,126,0.055,44,3.2,3.5,0,1,0
サッポロ ドラフトワン,0,1,0,0,116,0.05,42,3.3,0.75,0,1,0
サッポロ 麦とホップ,0,1,0,0,111,0.05,46,3.5,11,0,0,1
サッポロ 麦とホップ＜黒＞,0,1,0,0,114,0.05,48,4.2,9.5,0,0,1
サッポロ 麦とホップ プラチナクリア,0,1,0,0,117,0.05,39,2.2,9,0,0,1
サッポロ LEVEL9贅沢ストロング,0,1,0,0,110,0.09,63,2.8,7.5,0,0,1
サッポロ ホワイトベルグ,0,1,0,0,115,0.05,44,3.3,10,0,0,1
キリン一番搾り生ビール,0,0,1,0,195,0.05,40,2.6,9.2,1,0,0
キリン一番搾り〈黒生〉,0,0,1,0,199,0.05,44,3.7,11.1,1,0,0
キリン一番搾り 超芳醇（期間限定）,0,0,1,0,196,0.06,47,2.8,11.4,1,0,0
キリンラガービール,0,0,1,0,199,0.05,42,3.2,6.7,1,0,0
キリン クラシックラガー,0,0,1,0,206,0.045,41,3.6,7.1,1,0,0
キリン秋味（期間限定）,0,0,1,0,196,0.06,49,3.4,7.2,1,0,0
グランドキリン IPA(インディア・ペールエール),0,0,1,0,267,0.055,48,3.9,9.7,1,0,0
グランドキリン WHITE ALE(ホワイトエール),0,0,1,0,268,0.055,49,3.8,8.9,1,0,0
グランドキリン ギャラクシーホップ,0,0,1,0,278,0.045,40,3,6.1,1,0,0
グランドキリン 雨のち太陽、ベルジャンの白,0,0,1,0,274,0.055,44,3,10.5,1,0,0
淡麗 極上<生>[発泡酒],0,0,1,0,131,0.055,45,3.2,3.8,0,1,0
淡麗グリーンラベル[発泡酒],0,0,1,0,132,0.045,28,0.8,2.3,0,1,0
淡麗プラチナダブル[発泡酒],0,0,1,0,132,0.055,31,0,0,0,1,0
キリン のどごし<生>[その他の醸造酒（発泡性）1],0,0,1,0,112,0.05,37,2.7,2.4,0,0,1
キリン のどごし STRONG [リキュール（発泡性）１],0,0,1,0,109,0.07,51,2.2,6.4,0,0,1
キリン のどごし ZERO[リキュール（発泡性）１],0,0,1,0,112,0.04,27,0,0,0,0,1
キリン のどごし スペシャルタイム[リキュール（発泡性）１],0,0,1,0,112,0.05,42,2.8,8.2,0,0,1
キリン　本麒麟 [リキュール（発泡性）１],0,0,1,0,112,0.06,47,2.5,7.4,0,0,1
キリン 濃い味＜糖質０＞[リキュール（発泡性）１],0,0,1,0,115,0.03,19,0,1.2,0,0,1
ザ・プレミアム・モルツ,0,0,0,1,212,0.055,47,3.8,9.5,1,0,0
ザ・プレミアム・モルツ〈香る〉エール,0,0,0,1,207,0.06,46,2.9,8.5,1,0,0
ザ・プレミアム・モルツ〈黒〉,0,0,0,1,224,0.055,52,4.6,9.4,1,0,0
ザ・モルツ,0,0,0,1,199,0.05,43,3.3,8.8,1,0,0
金麦,0,0,0,1,112,0.05,43,3.2,3.5,0,0,1
金麦〈糖質７５％オフ〉,0,0,0,1,114,0.04,33,0.5,1.5,0,0,1
金麦クリアラベル,0,0,0,1,116,0.05,42,2.8,1.7,0,0,1
ジョッキ生,0,0,0,1,115,0.05,35,0.9,4.5,0,0,1
頂〈いただき〉※,0,0,0,1,114,0.08,63,4,6,0,0,1
頂※１〈極上ＺＥＲＯ〉,0,0,0,1,108,0.07,45,0,2.6,0,0,1